0,1.75,0,0.299998,10,0,-0
0,1.75,0.0299998,0.599997,10,0,8.43127e-13
0.00299998,1.75,0.0899995,0.899995,10,2.21876e-18,9.14964e-14
0.0119999,1.75,0.179999,1.19999,10,1.19017e-17,3.08372e-14
0.0299998,1.75,0.299998,1.49999,10,2.89692e-17,1.77141e-14
0.0599997,1.75,0.449998,1.79999,10,5.44743e-17,4.20254e-16
0.104999,1.75,0.629997,2.09999,10,8.03122e-17,-1.78164e-15
0.167999,1.75,0.839996,2.39978,10,1.04036e-16,-4.68741e-15
0.251999,1.75,1.07997,2.69872,10,1.19975e-16,-1.7327e-15
0.359996,1.75,1.34985,2.99848,10,1.32081e-16,-2.27939e-15
0.494981,1.75,1.64969,3.01364,10,1.37702e-16,-1.60943e-15
0.65995,1.75,1.95106,2.87189,10,1.37601e-16,-1.86841e-15
0.855056,1.75,2.23825,3.17188,10,1.29385e-16,-5.82806e-16
1.07888,1.75,2.55543,2.88075,10,1.18175e-16,3.38713e-16
1.33442,1.75,2.84351,3.18029,10,1.0896e-16,-4.14016e-16
1.61877,1.75,3.16154,2.89071,10,9.69607e-17,-7.58602e-16
1.93493,1.75,3.45061,3.1907,10,7.92825e-17,4.98598e-16
2.27999,1.75,3.76968,2.89715,10,6.57539e-17,-1.37769e-16
2.65696,1.75,4.0594,3.19671,10,5.09739e-17,2.49283e-16
3.0629,1.75,4.37907,2.90618,10,3.86674e-17,7.58023e-17
3.5008,1.75,4.66968,3.20565,10,2.7171e-17,-1.81297e-16
3.96777,1.75,4.99025,2.90611,10,1.35848e-17,1.42936e-17
4.4668,1.75,5.28086,3.20611,10,1.7433e-19,5.17499e-16
4.99488,1.75,5.60147,2.93522,10,-6.43888e-18,1.67803e-16
5.55503,1.75,5.89499,3.23402,10,-1.07197e-17,8.74217e-16
6.14453,1.75,6.2184,2.98228,10,-2.11162e-18,-1.39906e-16
6.76637,1.75,6.51662,3.15931,10,4.3257e-18,-2.50015e-16
7.41803,1.75,6.83255,2.85949,10,6.67108e-18,-4.12675e-17
8.10129,1.75,7.1185,2.55965,10,8.30865e-18,-1.06279e-16
8.81314,1.75,7.37447,2.36625,10,8.035e-18,-5.87873e-17
9.55058,1.75,7.61109,2.27313,10,6.65994e-18,7.43831e-17
10.3117,1.75,7.83841,1.97353,10,6.72859e-18,5.26846e-18
11.0955,1.75,8.03576,2.27343,10,6.90278e-18,7.53048e-17
11.8991,1.75,8.2631,1.97343,10,8.63051e-18,-1.02701e-16
12.7254,1.75,8.46045,1.67343,10,8.18618e-18,-6.90463e-17
13.5715,1.75,8.62779,1.37406,10,6.24025e-18,-1.13574e-16
14.4342,1.75,8.7652,1.67406,10,1.76537e-18,-1.69087e-16
15.3108,1.75,8.9326,1.37406,10,-6.54902e-18,2.76958e-16
16.204,1.75,9.07001,1.0741,10,-8.47427e-18,1.15716e-16
17.111,1.75,9.17742,1.3741,10,-7.67912e-18,8.07965e-17
18.0288,1.75,9.31483,1.0741,10,-4.95527e-18,-6.44207e-17
18.9602,1.75,9.42224,0.774098,10,-3.78742e-18,-5.29332e-17
19.9025,1.75,9.49965,1.0741,10,-3.91724e-18,8.31988e-17
